"ANTIOQUIA","ATLANTICO","SANTAFE DE BOGOTA D.C","BOLIVAR","BOYACA","CALDAS","CAQUETA","CAUCA","CESAR","CORDOBA","CUNDINAMARCA","CHOCO","HUILA","LA GUAJIRA","MAGDALENA","META","NARIÑO","NORTE DE SANTANDER","QUINDIO","RISARALDA","SANTANDER","SUCRE","TOLIMA","VALLE DEL CAUCA","ARAUCA","CASANARE","PUTUMAYO","AMAZONAS","GUAINIA","GUAVIARE","VAUPES","VICHADA","ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA"
231335.921518256,469817.242427823,275070.46341803,251321.942547109,110308.150990185,250684.648807419,654420.648333812,602413.356348487,315317.526286328,313285.611689227,217994.232371445,391232.221572901,514610.719225301,539346.949862725,401960.846638993,376063.723054437,746642.210687518,167543.550826931,342186.157392574,320286.49485356,0,318007.51999851,349781.893199601,456693.048401335,280180.676880661,254467.074904039,737339.717269626,937342.215923211,685808.755882249,550302.726170523,746001.239721069,503773.916003312,1120240.69694157
242975.374327589,177860.45600085,537394.515534435,76996.1402332372,426907.38639582,413226.831113137,924961.376316787,762386.686540597,181477.577853039,108354.059627352,484340.992962359,397463.226236932,723696.137587219,391036.125553474,158563.263323175,678450.708869344,885887.731253716,267573.016206993,510811.305611642,450437.240927425,318007.51999851,0,555219.58078332,595563.782850685,535006.805198317,562318.899414595,957133.581459664,1240818.30152578,995161.591033357,858974.10779898,1061996.37691162,794622.761430915,822726.822325583
319696.707082635,732856.063842907,119887.916710029,523452.967282814,303991.890918161,142684.975193559,388404.247341725,255269.23698524,635653.268420439,480227.756290286,152279.264128301,286893.703850618,171542.594289112,873893.229531524,692543.572503405,267830.034152291,401675.584667869,515501.675388095,67238.319236852,134585.465319258,349781.893199601,555219.58078332,0,142210.521452398,548804.59016232,430013.860106038,404127.988615907,746670.235045209,734820.767971644,422112.953109869,645405.018219114,651390.623903105,1200763.42080918
353116.98816566,771197.010576258,261836.226896061,581213.216735937,432387.345057744,209534.468266886,443903.239496957,166907.167329857,708221.193513618,502878.836440859,287312.121223602,239612.956319351,177180.709322255,949614.166762967,746368.02675487,401052.808792241,297435.018643838,613747.331772217,115692.412602391,149421.051052108,456693.048401335,595563.782850685,142210.521452398,0,682434.225677371,569831.298127076,386075.684991266,819023.131066804,870027.007923843,536227.652164177,754387.83339464,793554.695484115,1143337.52140995
511244.441352213,633951.474656769,435762.837543783,458041.133339956,251874.695945158,500160.675417546,718914.735083355,797949.568579866,434149.982406556,568371.857551284,396807.057189042,666514.068735046,679884.999712258,567033.633980502,546360.911309748,418150.206193459,944479.911664488,271355.542605078,568860.338748114,570293.735256168,280180.676880661,535006.805198317,548804.59016232,682434.225677371,0,147159.147628953,865152.730243154,897611.267025137,492001.890087008,528375.513844795,657002.719246258,268782.654573689,1357718.00350798
471663.427161638,692851.767948012,311357.70652401,489051.788749508,171774.997609593,411956.929736543,571781.403228606,669524.563948226,506019.062104556,567667.951347042,283922.289265412,597702.878643929,544999.6171508,678374.380454189,612223.122666,271321.513145715,814556.978401059,330199.325964222,461770.473765654,477729.112914027,254467.074904039,562318.899414595,430013.860106038,569831.298127076,147159.147628953,0,720841.640543446,766544.573265624,433244.25154503,387897.737800263,539030.692813005,254992.516532301,1374167.03633394
716859.301005112,1134994.02299457,463575.676055255,927575.120453817,662383.870645073,544206.16431145,212583.476146042,243611.689742076,1037438.59095273,875176.051526611,519747.513306591,625672.765616862,233510.917729429,1273027.39031256,1096660.34859524,453329.813691622,256361.085625804,904733.805818988,447062.858831357,511904.729492585,737339.717269626,957133.581459664,404127.988615907,386075.684991266,865152.730243154,720841.640543446,0,531432.11850711,824174.689502197,446389.986215943,589398.278322364,854830.622955008,1515897.11815426
1040815.9841055,1405269.16391855,712783.969645382,1184129.82136196,828722.21269867,872378.748599683,376641.811120407,738796.038911264,1246350.62557003,1194800.69238089,760284.697714886,1031763.22695217,644510.702666427,1442094.7810227,1339188.64762026,563093.805748099,787389.356772594,1075507.66415028,812888.298947232,881226.739946678,937342.215923211,1240818.30152578,746670.235045209,819023.131066804,897611.267025137,766544.573265624,531432.11850711,0,557517.065807486,388421.72154679,262504.321159782,727472.989969287,1947374.79690861
888236.423122457,1117664.74521812,628037.665858105,921089.11224443,589450.261414772,783895.598940573,613945.30047791,898678.99394738,922215.442288572,998674.134598558,636409.295823217,979791.835729181,761094.009245488,1052373.27307198,1032896.45698192,468974.224988761,1019000.62978779,750806.306837284,791536.445047457,834541.963178036,685808.755882249,995161.591033357,734820.767971644,870027.007923843,492001.890087008,433244.25154503,824174.689502197,557517.065807486,0,379859.540153962,301308.149195121,232473.018464879,1805915.10155076
675270.164676405,1019599.15551355,351803.984211124,799182.689366191,440968.511600874,521152.012306971,241292.955021276,531009.258282145,857940.248216094,821903.19579245,389827.497557353,703621.802544349,397299.04341133,1056305.57062709,951623.686189826,182827.354916799,642504.750576083,687360.464737096,488183.462443159,548359.359942907,550302.726170523,858974.10779898,422112.953109869,536227.652164177,528375.513844795,387897.737800263,446389.986215943,388421.72154679,379859.540153962,0,223897.181086722,428548.310491758,1601860.75078284
892715.104726908,1214188.0593171,573908.231001754,997322.792173292,635863.064942257,743751.446360146,380229.69773114,728313.538080922,1039258.81837248,1034105.12050619,608225.471135016,927509.146033608,602777.528069242,1216456.13692614,1140152.53552051,400722.083858288,820814.111032878,864028.347917429,711771.737659036,772253.540470738,746001.239721069,1061996.37691162,645405.018219114,754387.83339464,657002.719246258,539030.692813005,589398.278322364,262504.321159782,301308.149195121,223897.181086722,0,466614.166250307,1822476.64940601
726267.206408681,902327.8582389,532522.65194951,718378.939734148,426628.42978746,659239.309104561,664679.917531136,864316.058368229,702929.883814859,813770.20470534,520276.59414564,849553.095050192,728956.917351243,821011.289269563,815080.42552049,419982.741368745,1001559.87834585,537425.953161881,694852.16618258,721219.518931553,503773.916003312,794622.761430915,651390.623903105,793554.695484115,268782.654573689,254992.516532301,854830.622955008,727472.989969287,232473.018464879,428548.310491758,466614.166250307,0,1615431.00933923
931746.394425952,759273.883774886,1250153.74029007,899677.7365666,1218523.84713527,1081825.32144573,1581228.06637726,1272714.07493826,953115.478843261,807258.460311235,1214370.93126166,916384.184103542,1319813.52411506,1001643.33068512,847952.356651277,1421762.39357801,1320591.5893755,1088553.70548705,1134504.38203922,1066289.88568892,1120240.69694157,822726.822325583,1200763.42080918,1143337.52140995,1357718.00350798,1374167.03633394,1515897.11815426,1947374.79690861,1805915.10155076,1601860.75078284,1822476.64940601,1615431.00933923,0
